Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
28.06.2019,31.95,31.93,32.09,31.72,-,1.08%
27.06.2019,31.61,31.2,31.68,30.92,2.09M,0.51%
26.06.2019,31.45,32,32.18,31.44,2.17M,0.16%
25.06.2019,31.4,31.7,32.3,31.24,4.40M,-1.66%
24.06.2019,31.93,32.28,32.59,31.63,4.81M,-0.84%
21.06.2019,32.2,32.69,33,31.83,5.76M,-1.89%
19.06.2019,32.82,31.74,33.04,30.84,5.59M,2.72%
18.06.2019,31.95,31.45,31.96,31.27,3.22M,3.06%
17.06.2019,31,30.51,31.37,30.36,3.03M,2.24%
14.06.2019,30.32,30.78,31.17,30.2,2.82M,-1.59%
13.06.2019,30.81,30.59,31.39,30.52,3.30M,0.46%
12.06.2019,30.67,30.8,30.92,30.21,2.65M,-0.90%
11.06.2019,30.95,31.2,31.48,29.85,5.54M,0.26%
10.06.2019,30.87,30.2,31,30.04,3.82M,2.97%
07.06.2019,29.98,29.65,30.25,29.06,4.22M,2.50%
06.06.2019,29.25,28.7,29.25,27.87,3.78M,3.47%
05.06.2019,28.27,28.56,29.08,27.94,4.31M,0.57%
04.06.2019,28.11,27.81,28.36,27.62,4.22M,2.93%
03.06.2019,27.31,27.11,28.12,27.11,4.35M,1.22%
31.05.2019,26.98,26.69,27.51,26.66,3.95M,-0.41%
30.05.2019,27.09,26.53,27.27,26.36,4.55M,2.27%
29.05.2019,26.49,26.33,27.15,25.93,5.76M,0.00%
28.05.2019,26.49,25.5,26.49,24.75,5.97M,3.88%
27.05.2019,25.5,25.25,25.8,25.17,3.43M,2.57%
24.05.2019,24.86,24.2,24.93,24,8.00M,5.16%
23.05.2019,23.64,23.06,24.6,22.77,6.04M,0.38%
22.05.2019,23.55,22.75,23.84,22.52,8.32M,5.61%
21.05.2019,22.3,21.1,22.56,20.92,4.75M,6.95%
20.05.2019,20.85,20.49,21.11,20.09,3.50M,1.71%
17.05.2019,20.5,20.5,21.35,20.16,5.19M,-2.29%
16.05.2019,20.98,22.2,22.42,20.98,4.73M,-7.41%
15.05.2019,22.66,22.89,22.89,21.8,4.34M,-1.69%
14.05.2019,23.05,23.8,24.28,22.79,4.44M,-2.78%
13.05.2019,23.71,24.95,25.02,23.59,4.08M,-7.02%
10.05.2019,25.5,24.7,25.57,24.35,4.11M,2.66%
09.05.2019,24.84,24.18,24.9,23.76,4.06M,1.31%
08.05.2019,24.52,23.46,24.63,23.46,3.82M,4.34%
07.05.2019,23.5,23.2,23.5,22.59,3.88M,0.86%
06.05.2019,23.3,22.96,23.7,22.91,3.29M,-1.65%
03.05.2019,23.69,22.5,23.9,22.03,4.52M,5.01%
02.05.2019,22.56,22.46,22.56,22.09,2.27M,-0.97%
30.04.2019,22.78,23,23.22,22.5,2.16M,-0.96%
29.04.2019,23,23.2,23.44,22.97,1.10M,0.00%
26.04.2019,23,23.37,23.5,22.78,2.83M,-0.73%
25.04.2019,23.17,22.97,23.77,22.6,2.69M,0.17%
24.04.2019,23.13,24,24.8,22.91,3.72M,-3.18%
23.04.2019,23.89,23.13,24.48,23.13,3.29M,3.38%
22.04.2019,23.11,23.8,23.81,22.91,2.08M,-2.90%
18.04.2019,23.8,21.98,24.15,21.98,4.83M,8.58%
17.04.2019,21.92,22.76,23.04,21.81,3.67M,-3.56%
16.04.2019,22.73,22.7,23.26,22.2,2.49M,0.13%
15.04.2019,22.7,23.52,23.88,22.4,2.25M,-2.37%
12.04.2019,23.25,23,23.83,22.81,5.28M,-0.64%
11.04.2019,23.4,24.32,24.59,23,5.58M,-3.47%
10.04.2019,24.24,23.92,24.88,23.72,5.44M,2.28%
09.04.2019,23.7,23.89,23.93,23.27,3.77M,-2.07%
08.04.2019,24.2,25.38,25.51,24.07,2.98M,-4.65%
05.04.2019,25.38,25.8,25.98,25.11,2.64M,-1.25%
04.04.2019,25.7,25.2,25.8,24.8,2.11M,1.18%
03.04.2019,25.4,25.4,25.7,24.87,2.12M,0.32%
02.04.2019,25.32,25.85,26.1,24.93,2.34M,-1.29%
01.04.2019,25.65,26.43,26.71,25.55,2.52M,-0.97%
29.03.2019,25.9,26.17,26.8,25.58,2.97M,1.13%
28.03.2019,25.61,25.69,25.83,24.44,5.02M,1.83%
27.03.2019,25.15,27.34,27.34,25.01,5.68M,-8.71%
26.03.2019,27.55,28.12,28.34,27.46,2.43M,-0.33%
25.03.2019,27.64,27.5,28.34,26.81,3.60M,1.39%
22.03.2019,27.26,28.53,28.8,27.03,4.19M,-6.48%
21.03.2019,29.15,31.27,31.49,28.93,4.49M,-5.02%
20.03.2019,30.69,30.4,31.7,30.4,5.08M,0.89%
19.03.2019,30.42,29.03,30.77,28.91,5.92M,5.41%
18.03.2019,28.86,27.66,28.97,27.66,3.50M,4.57%
15.03.2019,27.6,26.95,27.8,26.83,3.10M,2.99%
14.03.2019,26.8,27.57,27.7,26.7,2.84M,-2.30%
13.03.2019,27.43,26.59,27.81,26.16,4.19M,3.31%
12.03.2019,26.55,26.35,26.95,25.81,3.99M,0.76%
11.03.2019,26.35,26.19,27.22,25.92,5.87M,-2.59%
08.03.2019,27.05,26.5,27.37,25.7,2.73M,1.58%
07.03.2019,26.63,26.39,27.03,26.11,1.86M,0.87%
06.03.2019,26.4,26.63,26.89,26.16,1.47M,-0.08%
01.03.2019,26.42,26.96,27.08,25.79,1.94M,-0.90%
28.02.2019,26.66,27.07,28.05,26.36,2.28M,-2.34%
27.02.2019,27.3,27.7,27.9,27.01,1.61M,-0.73%
26.02.2019,27.5,27,27.94,26.6,2.68M,1.85%
25.02.2019,27,27.8,27.96,27,1.91M,-2.17%
22.02.2019,27.6,27.5,27.83,26.95,2.55M,1.10%
21.02.2019,27.3,28.2,28.65,26.09,6.76M,-3.36%
20.02.2019,28.25,28.28,28.83,27.91,2.85M,0.82%
19.02.2019,28.02,28.52,28.63,28.01,2.03M,-0.85%
18.02.2019,28.26,28.62,28.74,28.04,1.44M,-2.25%
15.02.2019,28.91,28.63,28.98,28.13,2.87M,1.44%
14.02.2019,28.5,28.51,28.64,27.4,3.95M,-0.52%
13.02.2019,28.65,28.57,28.89,28,2.45M,0.39%
12.02.2019,28.54,28.15,28.59,27.67,3.53M,2.59%
11.02.2019,27.82,27.32,28.14,27.06,3.06M,2.92%
08.02.2019,27.03,26.47,27.15,25.43,2.41M,2.54%
07.02.2019,26.36,27,27.33,25.88,2.34M,-1.61%
06.02.2019,26.79,27.11,27.8,26.68,3.34M,-2.90%
05.02.2019,27.59,27.49,28.14,27.2,5.64M,2.26%
04.02.2019,26.98,24.8,27,24.76,5.86M,8.27%
01.02.2019,24.92,24.59,25.05,24.43,2.60M,0.81%
31.01.2019,24.72,24.5,25.18,24.14,4.46M,2.74%
30.01.2019,24.06,23.35,24.22,23.32,2.85M,4.38%
29.01.2019,23.05,23.5,23.54,23,2.06M,-0.52%
28.01.2019,23.17,22.78,23.41,22.51,3.00M,-1.11%
24.01.2019,23.43,23.21,23.6,23.15,2.56M,0.95%
23.01.2019,23.21,23.15,23.35,22.69,2.94M,1.75%
22.01.2019,22.81,23.57,23.96,22.81,3.40M,-3.43%
21.01.2019,23.62,23.95,24.14,23.5,2.37M,-2.44%
18.01.2019,24.21,24.41,25.08,24.1,3.87M,0.79%
17.01.2019,24.02,24.25,24.48,23.93,2.70M,0.54%
16.01.2019,23.89,24.35,24.65,23.75,2.49M,-1.97%
15.01.2019,24.37,25.3,25.5,24.37,2.48M,-3.14%
14.01.2019,25.16,24.83,25.4,24.38,3.74M,0.80%
11.01.2019,24.96,23.5,24.96,23.44,6.38M,7.35%
10.01.2019,23.25,23.3,23.71,22.99,2.71M,-0.98%
09.01.2019,23.48,23.7,24.13,23.46,2.97M,-0.47%
08.01.2019,23.59,24.3,24.4,22.74,4.29M,-1.30%
07.01.2019,23.9,24.76,25.15,23.85,2.76M,-4.40%
04.01.2019,25,25.66,25.86,24.77,3.17M,-2.46%
03.01.2019,25.63,25.17,25.83,24.69,3.62M,0.71%
02.01.2019,25.45,25.08,25.62,24.95,3.74M,1.39%
